,Unnamed: 0,code,usymbol,time,lp,volumn,lqd,lq,side,bp1,bp2,bp3,bp4,bp5,ap1,ap2,ap3,ap4,ap5,bq1,bq2,bq3,bq4,bq5,aq1,aq2,aq3,aq4,aq5,strDate,t,dateStr
4750,4823,sh,510050,2020/6/10 14:59,2.909,1,5818,2000,B,2.908,2.907,2.906,2.905,2.904,2.909,2.91,2.911,2.912,2.913,342800,311000,766800,1911900,154900,1475300,418600,215300,690500,768700,20200610,53998,20200610
9584,4916,sh,510050,2020/6/11 14:59,2.879,1,390085,135500,B,2.878,2.877,2.876,2.875,2.874,2.879,2.88,2.881,2.882,2.883,25500,266000,261500,826800,48200,575900,414400,146500,88500,161900,20200611,53998,20200611
14395,4978,sh,510050,2020/6/12 14:59,2.889,1,164991,57100,S,2.889,2.888,2.887,2.886,2.884,2.89,2.891,2.892,2.893,2.894,565700,68800,400800,100500,301100,300800,1535200,484800,799100,102700,20200612,53999,20200612
19238,4975,sh,510050,2020/6/15 15:00,2.847,1,91958,32300,B,2.846,2.845,2.844,2.843,2.842,2.847,2.848,2.849,2.85,2.851,1802300,1177700,27800,181600,692300,383100,968100,1202700,1259700,126300,20200615,54000,20200615
24051,4956,sh,510050,2020/6/16 14:59,2.877,1,108463,37700,B,2.877,2.876,2.875,2.874,2.873,2.878,2.879,2.88,2.881,2.882,66400,83355,801400,1103200,2236500,1282500,2278997,4137300,1852100,1508400,20200616,53998,20200616
28736,4762,sh,510050,2020/6/17 14:59,2.881,1,735458,255300,B,2.88,2.879,2.878,2.877,2.876,2.881,2.882,2.883,2.884,2.885,739900,183200,208800,180400,72500,95000,813500,1756600,1129700,1134300,20200617,53999,20200617
33515,4850,sh,510050,2020/6/18 14:59,2.894,1,6657,2300,S,2.894,2.893,2.892,2.891,2.89,2.895,2.896,2.897,2.898,2.899,90600,635200,757500,371100,751700,233200,899500,3708000,1405800,610700,20200618,53999,20200618
38318,4877,sh,510050,2020/6/19 14:59,2.927,1,0,0,B,2.924,2.923,2.922,2.921,2.92,2.925,2.927,2.928,2.929,2.93,345700,247500,129600,104200,449500,410700,81900,180400,165300,1120900,20200619,53999,20200619
43125,4926,sh,510050,2020/6/22 15:00,2.924,1,29240,10000,B,2.923,2.922,2.921,2.92,2.919,2.924,2.925,2.926,2.927,2.928,1761400,737100,424600,527900,199100,144450,668800,52600,719000,288900,20200622,54000,20200622
47914,4879,sh,510050,2020/6/23 15:00,2.93,1,0,0,S,2.93,2.929,2.928,2.927,2.926,2.931,2.932,2.933,2.934,2.935,466200,885450,276200,169400,91100,459400,599500,927700,444500,356600,20200623,54000,20200623
