,Unnamed: 0,symbol,,exchange,t,lp,dateStr,lq,bp,bq,ap,aq,oi,lqd,bp1,bp2,bp3,bp4,bp5,ap1,ap2,ap3,ap4,ap5,bq1,bq2,bq3,bq4,bq5,aq1,aq2,aq3,aq4,aq5,lup,ldown
26674,26675,IH2008,,CFFEX,53999.7,3282.4,20200806,49172,3283.6,2,3283.8,1,36492,48213260460,3283.6,3282.4,3282,3281.8,3281.6,3283.8,3284,3284.2,3284.4,3284.6,2,4,1,10,8,1,3,2,1,1,3609.2,2953.2
53639,26965,IH2008,,CFFEX,53999.9,3253,20200807,45761,3252.4,5,3254.4,3,31764,44659464420,3252.4,3252,3251.8,3251.6,3250.2,3254.4,3255,3255.2,3255.6,3256,5,2,1,1,1,3,4,1,1,2,3598.4,2944.4
80219,26580,IH2008,,CFFEX,53999.9,3279,20200810,43070,3278,1,3279,2,33387,42242532900,3278,3277.6,3277.4,3277,3276.8,3279,3280.4,3281,3281.8,3282,1,2,1,1,1,2,5,3,5,3,3587.8,2935.8
106150,25931,IH2008,,CFFEX,53999.6,3248.8,20200811,44688,3248.8,2,3249.8,1,33299,44303938800,3248.8,3248,3247.4,3247,3246.8,3249.8,3250,3250.2,3250.4,3250.6,2,1,1,2,1,1,1,2,2,2,3618,2960.4
132697,26547,IH2008,,CFFEX,54000,3243.8,20200812,43027,3243.8,1,3244.6,4,33919,41716327740,3243.8,3243.6,3243.2,3243,3242.8,3244.6,3245,3245.6,3246,3246.6,1,1,1,1,1,4,2,3,3,1,3604.6,2949.4
158091,25394,IH2008,,CFFEX,53999.8,3227.2,20200813,33780,3227.2,4,3228,1,30172,32823950340,3227.2,3226.8,3226.2,3226,3225,3228,3230.2,3230.4,3230.6,3230.8,4,1,1,4,1,1,2,1,1,4,3558.6,2911.8
184055,25964,IH2008,,CFFEX,53999.9,3295,20200814,35936,3293.6,2,3295,2,29512,35065047000,3293.6,3293,3292.2,3291.6,3291.4,3295,3295.8,3296,3296.2,3296.8,2,2,2,1,2,2,1,3,6,2,3559,2912.2
210181,26126,IH2008,,CFFEX,53999.8,3372,20200817,41653,3372,4,3373,2,30594,41941683480,3372,3371.8,3371.6,3371.4,3371.2,3373,3373.2,3373.4,3373.6,3373.8,4,2,3,1,1,2,1,1,2,1,3604,2948.8
234383,24202,IH2008,,CFFEX,54000,3361.4,20200818,27782,3361.2,4,3362.4,1,24371,28038338760,3361.2,3361,3360.8,3360.6,3360.4,3362.4,3362.6,3362.8,3363,3363.2,4,2,1,1,3,1,1,2,3,4,3706.6,3033
258668,24285,IH2008,,CFFEX,54000,3296.6,20200819,28423,3297,1,3298.6,1,21542,28445034660,3297,3296.8,3296.6,3296.4,3296.2,3298.6,3299,3299.2,3299.8,3300,1,1,1,1,2,1,4,3,2,2,3694,3022.4
309757,26128,IH2009,#REF!,CFFEX,54000,3286.2,20200821,38875,3285.8,5,3286.6,6,48549,38238837120,3285.8,3285.6,3285.4,3285,3284.8,3286.6,3286.8,3287,3287.8,3288,5,2,5,3,1,6,2,6,1,15,3579,2928.6
335785,26028,IH2009,#NAME?,CFFEX,53999.8,3283,20200824,39795,3283,1,3284.6,5,47902,39422907240,3283,3282.6,3282.2,3282,3281,3284.6,3284.8,3285,3285.2,3285.4,1,2,3,2,2,5,2,1,4,1,3599.4,2945
361687,25902,IH2009,#NAME?,CFFEX,53999.9,3307.4,20200825,38511,3307,2,3307.4,2,47310,38289449640,3307,3306.6,3306.2,3306,3305.8,3307.4,3307.6,3307.8,3308,3308.2,2,5,1,3,1,2,2,9,13,1,3620.4,2962.4
388324,26637,IH2009,#NAME?,CFFEX,53999.8,3266.2,20200826,39449,3266.2,1,3267,3,48461,38940112680,3266.2,3265.6,3265.4,3265.2,3265,3267,3267.4,3267.8,3268,3268.2,1,1,2,3,5,3,1,1,4,2,3633.4,2973
414174,25850,IH2009,#NAME?,CFFEX,53999.9,3285.4,20200827,35560,3284.6,2,3285.4,3,46231,34871417700,3284.6,3284.4,3284.2,3284,3283.8,3285.4,3286,3286.2,3286.4,3286.6,2,3,1,3,1,3,7,1,3,2,3595.4,2941.8
