trade_date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600438.SH,600519.SH,600547.SH,600570.SH,600585.SH,600588.SH,600690.SH,600703.SH,600745.SH,600809.SH,600837.SH,600887.SH,600893.SH,600918.SH,601012.SH,601066.SH,601088.SH,601138.SH,601166.SH,601211.SH,601288.SH,601318.SH,601336.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601818.SH,601857.SH,601888.SH,601899.SH,601995.SH,603259.SH,603288.SH,603501.SH,603986.SH
20201102,9.25,63.15,5.13,3.91,28.08,26.2,40.25,15.49,4.71,24.1,53.05,89.23,79.58,32.2,1674.01,24.19,88,51.07,45,26.39,22.67,102.56,229.58,13.99,37.9,35.93,13.13,73.73,41.49,16.7,13.16,17.8,17.97,3.17,77.23,61.55,4.94,31.28,44.68,5.1,19.38,3.88,4.06,194.4,7.19,37.7,114.1,161.54,217.82,205.6
20201103,9.3,64.25,5.16,3.95,28.73,25.27,41.24,15.57,4.82,23.81,53.92,90.15,80.05,32.2,1695,24.84,90.35,51.65,45.98,26.9,23.2,102.74,225.99,14.24,39.11,38.4,13.41,70.96,42.9,16.83,13.38,17.91,18.41,3.18,79.16,62.7,4.95,31.93,45.78,5.16,19.64,3.98,4.12,197.76,7.65,41.47,113.7,160.7,215.59,203.3
20201104,9.34,64.38,5.15,3.93,28.73,25.68,42.93,15.54,4.78,25.41,52.95,90.17,83.13,30.17,1699.58,24.6,88.1,54.54,45.76,28.18,22.89,103.17,231.48,14.21,39.46,38.93,13.41,69.8,42.81,17.12,13.47,18.35,18.26,3.17,79.5,59.96,4.95,31.81,43.43,5.23,19.24,4.02,4.11,202.43,7.67,44.3,115.05,162.16,211,205
20201105,9.36,67.04,5.17,3.96,29.19,26.74,42.79,15.92,4.87,27.5,52.84,91.2,83.55,32.17,1721.9,24.89,93.16,54.61,45.82,28.25,23.23,104.96,234.19,14.28,39.48,38.52,13.6,73.99,43.57,17.23,13.81,18.18,18.57,3.18,80.94,58.92,4.95,32.28,42.74,5.27,19.39,4.05,4.12,200.1,7.66,47.2,116.9,168.65,214,206.8
20201106,9.39,66.96,5.17,3.98,29.24,27.49,42.48,16.16,4.88,27.72,49.45,88.89,85.86,30.6,1700.62,25.82,92.6,54.74,46.35,28.9,23.83,105.29,234.74,14.22,38.88,37.77,13.8,71.33,43.14,17.83,14,17.99,18.68,3.2,81.3,56.98,4.96,32.01,41.28,5.37,19.22,4.06,4.13,196.32,7.9,51.92,116.41,169.9,219.31,212.16
20201109,9.43,70.21,5.22,4.01,30.27,27.54,43.03,16.19,4.93,28.4,51.51,89.37,87.4,32.2,1742.57,25.9,94.1,55.33,48.4,28.41,25.17,115.82,235.49,14.68,39.51,38.22,14.9,72.17,45.52,17.92,14.4,17.99,19.11,3.21,82.98,58.24,4.98,33.45,42.59,5.31,19.96,4.08,4.18,199.5,8.13,57.11,119.45,168.87,239.45,225.09
20201110,9.46,74.3,5.22,4.04,29.75,27.32,43.72,16.12,4.87,26.75,56.66,87.95,90.24,33.56,1745,24.89,94.66,54,47.96,28.5,24.95,113.78,249.8,14.66,38.94,36.98,14.4,74.79,44.79,17.85,15.06,18.56,18.91,3.21,83.2,58.79,5.02,33.63,42.65,5.27,19.66,4.07,4.2,185.27,7.7,60.11,120.31,167.79,224.91,216.44
20201111,9.56,74.1,5.23,4.12,29.26,28.31,44.35,16.4,4.92,26.25,56.8,86.17,88.5,32.8,1731.35,24.66,89.16,55.97,46.66,28,24.38,107,251.55,14.45,39.26,36.42,14.15,73,43.37,18,14.54,18.68,18.69,3.23,83.52,59.46,5.07,33.8,42.77,5.37,19.29,4.18,4.27,184.6,7.53,59.6,114.87,167.2,202.42,202.01
20201112,9.43,75.29,5.17,4.06,29.12,28.7,43.58,16.27,4.85,26.42,59.14,86.55,90.48,32.45,1734.79,24.4,88.88,55.84,46.71,28.65,24.81,108.02,255,14.19,39.01,36.41,14.05,70.05,43.15,17.72,14.48,18.49,18.38,3.21,82.27,59.23,5.01,32.94,41.9,5.31,19.12,4.15,4.22,196.15,7.67,56.22,117.2,164.37,204.17,203.4
20201113,9.36,75.93,5.13,4.02,28.71,28.16,42.58,15.78,4.78,26.19,57.33,85.5,87.9,30.92,1705,24.45,88.67,54.98,47.63,28.4,25.79,109.83,250.1,13.93,38.32,38.34,14.1,66.56,43.03,17.48,14.35,17.77,18.05,3.18,80.34,57.38,4.96,31.78,40.7,5.25,18.65,4,4.18,192.5,7.64,57.2,117.7,162.81,201.79,207.15
